measurement_node,electrode distance (um),model,stimulus amplitude (uA),latency (ms),amplitude level
124,3000,briaire_05,5224.557636207655,2.2969999999999997,1.8421052631578945
124,3000,briaire_05,5821.649937488531,2.292,2.052631578947368
124,3000,briaire_05,6418.742238769406,2.2880000000000003,2.263157894736842
124,3000,briaire_05,7015.834540050282,2.2849999999999997,2.473684210526316
124,3000,briaire_05,7612.926841331156,2.282,2.6842105263157894
124,3000,briaire_05,8210.019142612031,2.279,2.894736842105263
124,3000,briaire_05,8807.111443892907,2.2759999999999994,3.105263157894737
124,3000,briaire_05,9404.203745173781,2.274,3.315789473684211
124,3000,briaire_05,10001.296046454656,2.272,3.526315789473684
124,3000,briaire_05,10598.38834773553,2.2699999999999996,3.7368421052631575
124,3000,briaire_05,11195.480649016406,2.2680000000000002,3.9473684210526314
124,3000,briaire_05,11792.57295029728,2.2659999999999996,4.157894736842105
124,3000,briaire_05,12389.665251578155,2.2639999999999993,4.368421052631579
124,3000,briaire_05,12986.75755285903,2.2629999999999995,4.578947368421052
124,3000,briaire_05,13583.849854139904,2.261,4.789473684210526
124,3000,briaire_05,14180.94215542078,2.259,5.0
946,200,imennov_09,0.5316734313964843,2.5189999999999997,1.0
946,200,imennov_09,0.6436046801115336,2.508,1.2105263157894737
946,200,imennov_09,0.7555359288265829,2.501,1.4210526315789473
946,200,imennov_09,0.8674671775416323,2.496,1.631578947368421
946,200,imennov_09,0.9793984262566816,2.4919999999999995,1.842105263157895
946,200,imennov_09,1.0913296749717307,2.489,2.052631578947368
946,200,imennov_09,1.2032609236867802,2.4869999999999997,2.263157894736842
946,200,imennov_09,1.3151921724018296,2.4849999999999994,2.473684210526316
946,200,imennov_09,1.4271234211168786,2.484,2.6842105263157894
946,200,imennov_09,1.539054669831928,2.483,2.894736842105263
946,200,imennov_09,1.6509859185469773,2.4819999999999998,3.1052631578947367
946,200,imennov_09,1.762917167262027,2.481,3.3157894736842106
946,200,imennov_09,1.874848415977076,2.4799999999999995,3.526315789473684
946,200,imennov_09,1.9867796646921252,2.4799999999999995,3.7368421052631575
946,200,imennov_09,2.098710913407175,2.4789999999999996,3.9473684210526314
946,200,imennov_09,2.210642162122224,2.4789999999999996,4.157894736842105
946,200,imennov_09,2.3225734108372733,2.478,4.368421052631579
946,200,imennov_09,2.4345046595523225,2.478,4.578947368421052
946,200,imennov_09,2.5464359082673718,2.478,4.789473684210526
946,200,imennov_09,2.6583671569824214,2.478,5.0
946,300,imennov_09,1.2895584106445315,2.523999999999999,1.0
946,300,imennov_09,1.561044391832854,2.5109999999999992,1.2105263157894737
